segment,meanAsset0,blockProbAsset0,capacityAsset0,percentileAsset0_1,percentileAsset0_3,percentileAsset0_25,percentileAsset0_50,percentileAsset0_75,percentileAsset0_98,percentileAsset0_99,runtime(s)
0,0.5759536434457406,0.002726221473226075,4,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.008
1,1.0345102576009502,0.0037082939199250824,5,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.008
2,1.4589184924246201,0.0032726182196435288,6,0.0,0.0,1.0,1.0,2.0,4.0,5.0,0.006
3,1.8653808208030478,0.009794378389269616,6,0.0,0.0,1.0,2.0,3.0,5.0,5.0,0.007
4,2.2767852884493447,0.006882882951668797,7,0.0,0.0,1.0,2.0,3.0,6.0,6.0,0.005
5,2.6891601849645683,0.004869190113548894,8,0.0,0.0,2.0,3.0,4.0,6.0,7.0,0.005
6,3.101711994238081,0.0034543096298097907,9,0.0,0.0,2.0,3.0,4.0,7.0,8.0,0.008
7,3.503767450859267,0.0070803947582319185,9,0.0,0.0,2.0,3.0,5.0,7.0,8.0,0.008
8,3.915903080196814,0.004925153018109438,10,0.0,1.0,3.0,4.0,5.0,8.0,9.0,0.011
9,4.314013719062525,0.008934457217914245,10,0.0,1.0,3.0,4.0,6.0,9.0,9.0,0.01
